,Country Name,m2016,f2016,index_,Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Unnamed: 30,mean_age
60,Spain,"2,7","1,33",70,ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,ES,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2009,2014.0,2018.0,,72
61,Estonia,"2,3","1,58",71,EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,EE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1987–95,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,36
62,Ethiopia,41,"4,198",72,ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,Fiscal year end: July 7; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,ET,2015/2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019","Expenditure survey/budget survey (ES/BS), 2015/16",,,2014.0,2016.0,,69
63,Finland,"1,9","1,65",75,FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FI,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected). Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,38
64,Fiji,"18,7","2,516",76,FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,,East Asia & Pacific,Upper middle income,FJ,2014,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2009,2011.0,2018.0,,74
65,France,"3,2","1,96",77,FRA,France,France,French Republic,FR,Euro,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FR,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2016,,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,87
66,Faroe Islands,,"2,6",78,FRO,Faroe Islands,Faroe Islands,Faroe Islands,FO,Danish krone,,Europe & Central Asia,High income,FO,,,,,,,,,BPM5 (Converted into BPM6 by IMF),,,,,2011,,,Yes,,,2009.0,,35
67,Gabon,"34,3","3,786",80,GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GA,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1993,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,1995.0,2009.0,,44
68,Gabon,"34,3","3,786",80,GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GA,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1993,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,1995.0,2009.0,,61
69,United Kingdom,"3,7","1,8",81,GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,,Europe & Central Asia,High income,GB,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,35
70,United Kingdom,"3,7","1,8",81,GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,,Europe & Central Asia,High income,GB,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2013.0,2018.0,,90
71,Georgia,"9,5","1,996",82,GEO,Georgia,Georgia,Georgia,GE,Georgian lari,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Europe & Central Asia,Upper middle income,GE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1990–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",Yes,2014,2013.0,2018.0,,80
72,Ghana,"41,2","3,984",83,GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,,Sub-Saharan Africa,Lower middle income,GH,2013,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1973–87,,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2017",,,2003.0,2018.0,,55
73,Gibraltar,,,84,GIB,Gibraltar,Gibraltar,Gibraltar,GI,Gibraltar pound,,Europe & Central Asia,High income,GI,,,,,,,,,,,,,,2012,,,Yes,,,,,84
74,Gibraltar,,,84,GIB,Gibraltar,Gibraltar,Gibraltar,GI,Gibraltar pound,,Europe & Central Asia,High income,GI,,,,,,,,,,,,,,2012,,,Yes,,,,,47
75,Guinea,"58,3","4,855",85,GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,,Sub-Saharan Africa,Low income,GN,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2014,"Malaria Indicator Survey, 2021","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2015.0,,35
76,Guinea-Bissau,"57,8","4,633",87,GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,,Sub-Saharan Africa,Low income,GW,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2018/19","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2005.0,,30
77,Equatorial Guinea,"66,2","4,687",88,GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GQ,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1965–84,,BPM5 (Converted into BPM6 by IMF),,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Demographic and Health Survey, 2011","Priority survey (PS), 2006",,2015,,,,86
78,Greece,"3,1","1,33",89,GRC,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,GR,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2009,2013.0,2018.0,,74
79,Grenada,"14,4","2,104",90,GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Reproductive Health Survey, 1985",,Yes,2012,,2009.0,,35
80,Grenada,"14,4","2,104",90,GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Reproductive Health Survey, 1985",,Yes,2012,,2009.0,,85
81,Greenland,,2,91,GRL,Greenland,Greenland,Greenland,GL,Danish krone,,Europe & Central Asia,High income,GL,,,,,,,,,,,General trade system,,,2020 (expected). Population figures compiled from administrative registers.,,,Yes,,,2018.0,,41
82,Guatemala,"23,9","2,973",92,GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,,Latin America & Caribbean,Upper middle income,GT,Original chained constant price data are rescaled.,2013.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Demographic and Health Survey, 2014/15","Living Standards Measurement Study Survey (LSMS), 2014",Yes,,1988.0,2017.0,,43
83,Guam,,"2,347",93,GUM,Guam,Guam,Guam,GU,U.S. dollar,,East Asia & Pacific,High income,GU,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,,,2020 (expected),,,Yes,2007,,,,85
84,Guyana,"26,9","2,51",94,GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,,Latin America & Caribbean,Upper middle income,GY,2012,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 1998",,,,2018.0,,58
85,"Hong Kong SAR, China",,"1,205",96,HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income,HK,Original chained constant price data are rescaled.,2019.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,Special Data Dissemination Standard (SDDS),"2016. The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population.",,,Yes,,2014.0,2018.0,,58
86,Honduras,16,"2,462",97,HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,,Latin America & Caribbean,Lower middle income,HN,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1988–89,,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",,,1996.0,2017.0,,45
87,Croatia,4,"1,4",99,HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,,Europe & Central Asia,High income,HR,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996.0,2018.0,,41
88,Haiti,"50,9","2,919",100,HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,Fiscal year end: September 30; reporting period for national accounts data: FY.,Latin America & Caribbean,Lower middle income,HT,2011/12,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1991,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2003,"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2012",,2008-2009,,,,72
89,Haiti,"50,9","2,919",100,HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,Fiscal year end: September 30; reporting period for national accounts data: FY.,Latin America & Caribbean,Lower middle income,HT,2011/12,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1991,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2003,"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2012",,2008-2009,,,,72
90,Hungary,"4,4","1,45",101,HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,,Europe & Central Asia,High income,HU,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2014",Yes,2010,2013.0,2018.0,,64
91,Indonesia,"22,2","2,363",106,IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,East Asia & Pacific,Lower middle income,ID,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017","Integrated household survey (IHS), 2017",,2013,2013.0,2018.0,,56
92,Isle of Man,,,108,IMN,Isle of Man,Isle of Man,Isle of Man,IM,Pound sterling,"Fiscal year end: March 31; reporting period for national account data: FY. Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before.",Europe & Central Asia,High income,IM,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,,2016,,,Yes,,,,,80
93,Isle of Man,,,108,IMN,Isle of Man,Isle of Man,Isle of Man,IM,Pound sterling,"Fiscal year end: March 31; reporting period for national account data: FY. Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before.",Europe & Central Asia,High income,IM,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,,2016,,,Yes,,,,,56
94,India,"34,6","2,326",109,IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY.,South Asia,Lower middle income,IN,2011/12,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2011/12",,2010-2011,2014.0,2018.0,,77
95,Ireland,3,"1,92",110,IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IE,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Income survey (IS), 2015",Yes,2010,2012.0,2018.0,,88
96,Iraq,"25,9","4,37",112,IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,,Middle East & North Africa,Upper middle income,IQ,2007,,Value added at producer prices (VAP),IBRD,,Country uses the 1968 System of National Accounts methodology,"1997, 2004",,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1997,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2012",,2011-2012,2011.0,2014.0,,87
97,Iceland,"1,6","1,8",113,ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,,Europe & Central Asia,High income,IS,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2014",Yes,2010,2005.0,2018.0,,35
98,Israel,"2,9","3,11",114,ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,,Middle East & North Africa,High income,IL,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2012",Yes,,2014.0,2018.0,,81
99,Italy,"2,8","1,35",115,ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014.0,2018.0,,37
100,Jamaica,"13,2","2,009",116,JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,,Latin America & Caribbean,Upper middle income,JM,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Living Standards Measurement Study Survey (LSMS), 2012",,2007,1996.0,2017.0,,63
101,Jordan,"15,1","3,378",117,JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,,Middle East & North Africa,Upper middle income,JO,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2017/18","Expenditure survey/budget survey (ES/BS), 2010",,2007,2013.0,2018.0,,40
102,Jordan,"15,1","3,378",117,JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,,Middle East & North Africa,Upper middle income,JO,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2017/18","Expenditure survey/budget survey (ES/BS), 2010",,2007,2013.0,2018.0,,32
103,Japan,2,"1,44",118,JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Integrated household survey (IHS), 2008",Yes,2010,2012.0,2018.0,,88
104,Japan,2,"1,44",118,JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,2015.0,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Integrated household survey (IHS), 2008",Yes,2010,2012.0,2018.0,,86
105,Kazakhstan,"10,1","2,73",119,KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2005.0,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1987–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2017",,2006-2007,2013.0,2018.0,,32
106,Kenya,"35,6","3,852",120,KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2016,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Malaria Indicator Survey, 2020","Integrated household survey (IHS), 2015/16",,,2013.0,2018.0,,81
107,Kyrgyz Republic,"18,8","3,1",121,KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,2010.0,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1990–95,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",Yes,,2012.0,2018.0,,35
108,Cambodia,"26,3","2,56",122,KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,,East Asia & Pacific,Lower middle income,KH,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Demographic and Health Survey, 2020","Integrated household survey (IHS), 2012",,2013,2000.0,2016.0,,82
109,Kiribati,"42,4","3,651",123,KIR,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,,East Asia & Pacific,Lower middle income,KI,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Multiple Indicator Cluster Survey, 2018/19","Expenditure survey/budget survey (ES/BS), 2006",,,,2016.0,,87
110,St. Kitts and Nevis,"7,6",,124,KNA,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,,Latin America & Caribbean,High income,KN,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,,,2017.0,,71
111,Kuwait,"7,2","1,97",126,KWT,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,,Middle East & North Africa,High income,KW,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Family Health Survey, 1996",,Yes,,2013.0,2018.0,,76
112,Lao PDR,"48,9","2,698",128,LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,,East Asia & Pacific,Lower middle income,LA,2012,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Multiple Indicator Cluster Survey, 2017","Expenditure survey/budget survey (ES/BS), 2012",,2010-2011,1999.0,2016.0,,69
113,Lebanon,"6,9","1,719",129,LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,,Middle East & North Africa,Upper middle income,LB,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1943,"Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007.0,2018.0,,33
114,Liberia,"51,2","4,581",130,LBR,Liberia,Liberia,Republic of Liberia,LR,U.S. dollar,,Sub-Saharan Africa,Low income,LR,2016,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2014",,,,,,59
115,Libya,11,"2,274",131,LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,,Middle East & North Africa,Upper middle income,LY,2003,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1986,,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),2006,"STEPS Risk Factor Survey, 2010",,,,1980.0,2010.0,,48
116,St. Lucia,"11,8","1,459",132,LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,LC,2018,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2016",Yes,2007,1997.0,2017.0,,80
117,Liechtenstein,,"1,4",136,LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,,Europe & Central Asia,High income,LI,1998,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,Special trade system,,,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,Yes,,,,,78
